FID1,IID1,FID2,IID2,RT,EZ,Z0,Z1,Z2,PI_HAT,PHE,DST,PPC,RATIO
MC.154596@1075678759,MC.154596@1075678759,89566,89566,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.154721@1075641872,MC.154721@1075641872,89643,89643,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.155172@1075690959,MC.155172@1075690959,89954,89954,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.155397@1075641582,MC.155397@1075641582,90132,90132,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.155479@1076254320,MC.155479@1076254320,90206,90206,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.155613@1075678940,MC.155613@1075678940,90302,90302,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.155705@1076253441,MC.155705@1076253441,90389,90389,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.156039@1075680531,MC.156039@1075680531,90660,90660,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999957,1,NA
MC.156271@1075641533,MC.156271@1075641533,90837,90837,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.157104@1075690906,MC.157104@1075690906,91399,91399,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.157123@1075680344,MC.157123@1075680344,91421,91421,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.157652@1075677185,MC.157652@1075677185,89579,89579,UN,NA,0,0,1,1,-1,0.999983,1,3832
MC.159637@1075680627,MC.159637@1075680627,90548,90548,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.159741@1075690463,MC.159741@1075690463,90581,90581,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.160290@1075641559,MC.160290@1075641559,89769,89769,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100002@0123890390,MC.AMD100002@0123890390,89757,89757,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100017@0123889350,MC.AMD100017@0123889350,89822,89822,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100108@0123908431,MC.AMD100108@0123908431,90041,90041,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100109@0123890936,MC.AMD100109@0123890936,89455,89455,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100114@0124013751,MC.AMD100114@0124013751,90645,90645,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100127@0124013734,MC.AMD100127@0124013734,90434,90434,UN,NA,0,0,1,1,-1,0.999974,1,3792
MC.AMD100142@0123911452,MC.AMD100142@0123911452,90091,90091,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100160@0123910520,MC.AMD100160@0123910520,90042,90042,UN,NA,0,2e-04,0.9998,0.9999,-1,0.999966,1,NA
MC.AMD100161@0123911337,MC.AMD100161@0123911337,91168,91168,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100169@0123890913,MC.AMD100169@0123890913,90819,90819,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100187@0123911594,MC.AMD100187@0123911594,89740,89740,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100188@0123890314,MC.AMD100188@0123890314,91063,91063,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100190@0123911701,MC.AMD100190@0123911701,89988,89988,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100204@0123889417,MC.AMD100204@0123889417,90818,90818,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100229@0123911443,MC.AMD100229@0123911443,91244,91244,UN,NA,0,0,1,1,-1,0.999974,1,3807
MC.AMD100238@0123861750,MC.AMD100238@0123861750,90129,90129,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100246@0124010891,MC.AMD100246@0124010891,90021,90021,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100254@0124011278,MC.AMD100254@0124011278,90059,90059,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100265@0123911254,MC.AMD100265@0123911254,91358,91358,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100284@0124011496,MC.AMD100284@0124011496,91263,91263,UN,NA,2e-04,1e-04,0.9997,0.9997,-1,0.999914,1,NA
MC.AMD100306@0123909517,MC.AMD100306@0123909517,91293,91293,UN,NA,2e-04,2e-04,0.9996,0.9997,-1,0.999897,1,NA
MC.AMD100307@0123908444,MC.AMD100307@0123908444,89952,89952,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100321@0123909882,MC.AMD100321@0123909882,90579,90579,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100327@0123861397,MC.AMD100327@0123861397,90685,90685,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100337@0123890350,MC.AMD100337@0123890350,90140,90140,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.AMD100358@0123861693,MC.AMD100358@0123861693,89342,89342,UN,NA,0,0,1,1,-1,0.999983,1,3811
MC.AMD100372@0123910197,MC.AMD100372@0123910197,91204,91204,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100385@0123861086,MC.AMD100385@0123861086,90897,90897,UN,NA,0,0,1,1,-1,0.999983,1,3822
MC.AMD100388@0123911262,MC.AMD100388@0123911262,90782,90782,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100389@0123911269,MC.AMD100389@0123911269,89425,89425,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100407@0123861353,MC.AMD100407@0123861353,91163,91163,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100413@0123911640,MC.AMD100413@0123911640,89511,89511,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100436@0123911502,MC.AMD100436@0123911502,89666,89666,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100452@0123890849,MC.AMD100452@0123890849,89495,89495,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100456@0123911214,MC.AMD100456@0123911214,89847,89847,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100465@0123890559,MC.AMD100465@0123890559,90477,90477,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100467@0123890380,MC.AMD100467@0123890380,91279,91279,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.AMD100507@0123909587,MC.AMD100507@0123909587,89652,89652,UN,NA,0,9e-04,0.9991,0.9995,-1,0.999837,1,NA
MC.AMD100513@0123889423,MC.AMD100513@0123889423,90327,90327,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100525@0123889996,MC.AMD100525@0123889996,90379,90379,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100531@0123860932,MC.AMD100531@0123860932,89414,89414,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100541@0123890528,MC.AMD100541@0123890528,90236,90236,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100558@0123909059,MC.AMD100558@0123909059,89932,89932,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100569@0123889772,MC.AMD100569@0123889772,91327,91327,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100574@0123910240,MC.AMD100574@0123910240,91305,91305,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100578@0123908976,MC.AMD100578@0123908976,90853,90853,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100590@0124011257,MC.AMD100590@0124011257,90811,90811,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100593@0123890317,MC.AMD100593@0123890317,90545,90545,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.AMD100613@0124014831,MC.AMD100613@0124014831,90100,90100,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.AMD100634@0123910929,MC.AMD100634@0123910929,90605,90605,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100650@0123860972,MC.AMD100650@0123860972,90025,90025,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100668@0123861608,MC.AMD100668@0123861608,89393,89393,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100708@0124011245,MC.AMD100708@0124011245,90500,90500,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD100726@0123861247,MC.AMD100726@0123861247,89761,89761,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100729@0123889309,MC.AMD100729@0123889309,90925,90925,UN,NA,2e-04,0,0.9998,0.9998,-1,0.99994,1,NA
MC.AMD100737@0124013693,MC.AMD100737@0124013693,90891,90891,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100748@0123890584,MC.AMD100748@0123890584,89963,89963,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.AMD100758@0123861534,MC.AMD100758@0123861534,91055,91055,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100766@0123890547,MC.AMD100766@0123890547,90505,90505,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100772@0123908983,MC.AMD100772@0123908983,90965,90965,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.AMD100776@0123889530,MC.AMD100776@0123889530,89805,89805,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100778@0123890942,MC.AMD100778@0123890942,89986,89986,UN,NA,0,2e-04,0.9998,0.9999,-1,0.999957,1,NA
MC.AMD100780@0123909192,MC.AMD100780@0123909192,90848,90848,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999931,1,NA
MC.AMD100787@0124014895,MC.AMD100787@0124014895,89482,89482,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100796@0123910496,MC.AMD100796@0123910496,90719,90719,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD100813@0123890258,MC.AMD100813@0123890258,90898,90898,UN,NA,0,2e-04,0.9998,0.9999,-1,0.999957,1,NA
MC.AMD100823@0123860976,MC.AMD100823@0123860976,90461,90461,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.AMD100845@0123861436,MC.AMD100845@0123861436,91052,91052,UN,NA,0,2e-04,0.9998,0.9999,-1,0.999966,1,NA
MC.AMD100861@0123861316,MC.AMD100861@0123861316,91423,91423,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100864@0123860979,MC.AMD100864@0123860979,89637,89637,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.AMD100872@0123890519,MC.AMD100872@0123890519,90162,90162,UN,NA,0,0,1,1,-1,0.999983,1,3792
MC.AMD100880@0123861308,MC.AMD100880@0123861308,90294,90294,UN,NA,0,2e-04,0.9998,0.9999,-1,0.999966,1,NA
MC.AMD100882@0124014873,MC.AMD100882@0124014873,91230,91230,UN,NA,2e-04,0,0.9998,0.9998,-1,0.999966,1,NA
MC.AMD100916@0123889375,MC.AMD100916@0123889375,89895,89895,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100919@0123908275,MC.AMD100919@0123908275,90910,90910,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100926@0123861698,MC.AMD100926@0123861698,90542,90542,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100940@0123890254,MC.AMD100940@0123890254,90475,90475,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100947@0124010085,MC.AMD100947@0124010085,90971,90971,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD100958@0123890338,MC.AMD100958@0123890338,89981,89981,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100973@0123909242,MC.AMD100973@0123909242,90170,90170,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100977@0123909284,MC.AMD100977@0123909284,90027,90027,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD100979@0123890466,MC.AMD100979@0123890466,90017,90017,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD100995@0123890758,MC.AMD100995@0123890758,91056,91056,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101002@0123861191,MC.AMD101002@0123861191,91067,91067,UN,NA,0,0,1,1,-1,0.999983,1,3792
MC.AMD101040@0123861557,MC.AMD101040@0123861557,91195,91195,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101052@0123889481,MC.AMD101052@0123889481,90359,90359,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101073@0123861011,MC.AMD101073@0123861011,90663,90663,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101087@0123909071,MC.AMD101087@0123909071,90120,90120,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101127@0123890470,MC.AMD101127@0123890470,89557,89557,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.AMD101128@0123890924,MC.AMD101128@0123890924,89529,89529,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101136@0123911240,MC.AMD101136@0123911240,90497,90497,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101142@0124011303,MC.AMD101142@0124011303,91136,91136,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101164@0123890889,MC.AMD101164@0123890889,90948,90948,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101165@0123909350,MC.AMD101165@0123909350,90504,90504,UN,NA,0,1e-04,0.9999,0.9999,-1,0.999974,1,NA
MC.AMD101192@0123911261,MC.AMD101192@0123911261,91333,91333,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101206@0123908311,MC.AMD101206@0123908311,90576,90576,UN,NA,0,0,1,1,-1,0.999974,1,3796
MC.AMD101211@0123890928,MC.AMD101211@0123890928,91413,91413,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101212@0123911413,MC.AMD101212@0123911413,90523,90523,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101214@0123909366,MC.AMD101214@0123909366,91171,91171,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101225@0123890587,MC.AMD101225@0123890587,89367,89367,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101240@0123861615,MC.AMD101240@0123861615,90946,90946,UN,NA,0,0,1,1,-1,0.999983,1,3800
MC.AMD101252@0123861794,MC.AMD101252@0123861794,89588,89588,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101266@0123908985,MC.AMD101266@0123908985,89923,89923,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101294@0123908270,MC.AMD101294@0123908270,90174,90174,UN,NA,0,8e-04,0.9992,0.9996,-1,0.999853,1,NA
MC.AMD101300@0123909826,MC.AMD101300@0123909826,91122,91122,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101308@0123911585,MC.AMD101308@0123911585,90325,90325,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101336@0123890532,MC.AMD101336@0123890532,89397,89397,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101351@0123911470,MC.AMD101351@0123911470,90730,90730,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101396@0123861806,MC.AMD101396@0123861806,90297,90297,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101408@0123861286,MC.AMD101408@0123861286,90476,90476,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101414@0123861359,MC.AMD101414@0123861359,90867,90867,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101417@0123861135,MC.AMD101417@0123861135,89541,89541,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101424@0123909198,MC.AMD101424@0123909198,89662,89662,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101427@0123861795,MC.AMD101427@0123861795,89389,89389,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101450@0123908262,MC.AMD101450@0123908262,89780,89780,UN,NA,0,0,1,1,-1,0.999974,1,3774
MC.AMD101452@0124014817,MC.AMD101452@0124014817,91303,91303,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101454@0123861121,MC.AMD101454@0123861121,90721,90721,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101455@0123861496,MC.AMD101455@0123861496,91331,91331,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101469@0123861468,MC.AMD101469@0123861468,91391,91391,UN,NA,0,0,1,1,-1,0.999974,1,3804
MC.AMD101491@0123861809,MC.AMD101491@0123861809,90222,90222,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101529@0123861508,MC.AMD101529@0123861508,91150,91150,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101558@0124013699,MC.AMD101558@0124013699,90412,90412,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101565@0123861742,MC.AMD101565@0123861742,91167,91167,UN,NA,0,0,1,1,-1,0.999974,1,3805
MC.AMD101579@0123861119,MC.AMD101579@0123861119,89893,89893,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101598@0124009915,MC.AMD101598@0124009915,89918,89918,UN,NA,0,0,1,1,-1,0.999966,1,3827
MC.AMD101633@0123890911,MC.AMD101633@0123890911,90223,90223,UN,NA,0,0,1,1,-1,0.999974,1,3780
MC.AMD101636@0123907263,MC.AMD101636@0123907263,90857,90857,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101639@0123861690,MC.AMD101639@0123861690,90152,90152,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101649@0123908790,MC.AMD101649@0123908790,91319,91319,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101651@0123861103,MC.AMD101651@0123861103,91169,91169,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101665@0123890515,MC.AMD101665@0123890515,89575,89575,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101681@0124010150,MC.AMD101681@0124010150,91049,91049,UN,NA,0,0,1,1,-1,0.999974,1,3778
MC.AMD101687@0123909001,MC.AMD101687@0123909001,91209,91209,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101689@0123889501,MC.AMD101689@0123889501,91200,91200,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101703@0123889398,MC.AMD101703@0123889398,90102,90102,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101712@0123910860,MC.AMD101712@0123910860,90785,90785,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101718@0123909818,MC.AMD101718@0123909818,91223,91223,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101719@0123910942,MC.AMD101719@0123910942,90639,90639,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101725@0123861878,MC.AMD101725@0123861878,91149,91149,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101739@0124011363,MC.AMD101739@0124011363,90649,90649,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101747@0123861725,MC.AMD101747@0123861725,90098,90098,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101768@0124011005,MC.AMD101768@0124011005,90563,90563,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101778@0123890738,MC.AMD101778@0123890738,90159,90159,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101785@0123861746,MC.AMD101785@0123861746,89581,89581,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101794@0123889999,MC.AMD101794@0123889999,90913,90913,UN,NA,0,0,1,1,-1,0.999983,1,3795
MC.AMD101810@0123861136,MC.AMD101810@0123861136,89596,89596,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101813@0123908841,MC.AMD101813@0123908841,90742,90742,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101829@0124011188,MC.AMD101829@0124011188,89671,89671,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101833@0123861118,MC.AMD101833@0123861118,89889,89889,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101835@0123859628,MC.AMD101835@0123859628,90006,90006,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
MC.AMD101874@0124013696,MC.AMD101874@0124013696,89755,89755,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101876@0123861716,MC.AMD101876@0123861716,89515,89515,UN,NA,0,0,1,1,-1,1,1,NA
MC.AMD101889@0123861548,MC.AMD101889@0123861548,90076,90076,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101890@0123911559,MC.AMD101890@0123911559,90554,90554,UN,NA,0,0,1,1,-1,0.999991,1,NA
MC.AMD101892@0124014840,MC.AMD101892@0124014840,89674,89674,UN,NA,0,0,1,1,-1,0.999983,1,NA
MC.AMD101909@0124011367,MC.AMD101909@0124011367,90766,90766,UN,NA,0,0,1,1,-1,0.999974,1,NA
MC.AMD101910@0123890574,MC.AMD101910@0123890574,89391,89391,UN,NA,0,0,1,1,-1,0.999974,1,3806
MC.AMD101917@0124010885,MC.AMD101917@0124010885,91284,91284,UN,NA,0,0,1,1,-1,0.999974,1,3771
MC.AMD101924@0124014874,MC.AMD101924@0124014874,91213,91213,UN,NA,0,1e-04,0.9999,1,-1,0.999983,1,NA
